# CentOS Stream RPM Package Patch Files Analysis
# Analysis Date: 2025-08-05 15:04:37
# Total Packages Analyzed: 4446
# Packages with Patch Files: 1113
# Percentage: 25.0%
#
package_name,project_id,web_url,patch_count
ksc,25167566,https://gitlab.com/redhat/centos-stream/rpms/ksc,3
jdom2,25167542,https://gitlab.com/redhat/centos-stream/rpms/jdom2,1
jdom,25167540,https://gitlab.com/redhat/centos-stream/rpms/jdom,3
jdependency,25167539,https://gitlab.com/redhat/centos-stream/rpms/jdependency,1
javaparser,25167517,https://gitlab.com/redhat/centos-stream/rpms/javaparser,1
java_cup,25167514,https://gitlab.com/redhat/centos-stream/rpms/java_cup,2
javacc,25167512,https://gitlab.com/redhat/centos-stream/rpms/javacc,1
intltool,25167496,https://gitlab.com/redhat/centos-stream/rpms/intltool,7
gtk-doc,25167483,https://gitlab.com/redhat/centos-stream/rpms/gtk-doc,2
fstrm,25167283,https://gitlab.com/redhat/centos-stream/rpms/fstrm,4
fontforge,25167276,https://gitlab.com/redhat/centos-stream/rpms/fontforge,2
fftw,25167268,https://gitlab.com/redhat/centos-stream/rpms/fftw,1
felix-utils,25167266,https://gitlab.com/redhat/centos-stream/rpms/felix-utils,1
execstack,25167260,https://gitlab.com/redhat/centos-stream/rpms/execstack,3
elinks,25167257,https://gitlab.com/redhat/centos-stream/rpms/elinks,6
easymock,25167251,https://gitlab.com/redhat/centos-stream/rpms/easymock,4
disruptor,25167245,https://gitlab.com/redhat/centos-stream/rpms/disruptor,1
cppunit,25167237,https://gitlab.com/redhat/centos-stream/rpms/cppunit,1
cglib,25167219,https://gitlab.com/redhat/centos-stream/rpms/cglib,1
byaccj,25167214,https://gitlab.com/redhat/centos-stream/rpms/byaccj,1
apache-resource-bundles,25167197,https://gitlab.com/redhat/centos-stream/rpms/apache-resource-bundles,1
apache-commons-beanutils,25167192,https://gitlab.com/redhat/centos-stream/rpms/apache-commons-beanutils,1
xorg-x11-server-Xwayland,24513663,https://gitlab.com/redhat/centos-stream/rpms/xorg-x11-server-Xwayland,21
virt-viewer,24513660,https://gitlab.com/redhat/centos-stream/rpms/virt-viewer,1
kmod-kvdo,24513646,https://gitlab.com/redhat/centos-stream/rpms/kmod-kvdo,2
